run_idx,mode,agent,network,world,train_pr,infer_pr,checkpoint_episode,selection_metric,selection_value,repeat_idx,seed,train_prefix,infer_prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput
15,baseline,presslight,sumohz4x4,sumo,1.0,0.15,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.15__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.15__ckpt_20__rep_03,success,0,531.0,0.0,-17.38,3.17,0.22,2519.0
16,baseline,presslight,sumohz4x4,sumo,1.0,0.175,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.17__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.17__ckpt_25__rep_01,success,0,492.7,0.0,-16.61,2.81,0.21,2595.0
17,baseline,presslight,sumohz4x4,sumo,1.0,0.175,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.17__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.17__ckpt_35__rep_02,success,0,486.3,0.0,-16.82,2.8,0.21,2596.0
18,baseline,presslight,sumohz4x4,sumo,1.0,0.175,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.17__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.17__ckpt_20__rep_03,success,0,517.9,0.0,-17.85,3.19,0.22,2523.0
19,baseline,presslight,sumohz4x4,sumo,1.0,0.2,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.20__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.20__ckpt_25__rep_01,success,0,490.7,0.0,-17.38,2.89,0.21,2608.0
20,baseline,presslight,sumohz4x4,sumo,1.0,0.2,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.20__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.20__ckpt_35__rep_02,success,0,481.1,0.0,-17.0,2.82,0.21,2620.0
21,baseline,presslight,sumohz4x4,sumo,1.0,0.2,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.20__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.20__ckpt_20__rep_03,success,0,516.0,0.0,-18.77,3.3,0.22,2539.0
22,baseline,presslight,sumohz4x4,sumo,1.0,0.225,25,travel_time,419.4,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.23__ckpt_25__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.23__ckpt_25__rep_01,success,0,482.9,0.0,-17.37,2.96,0.21,2617.0
23,baseline,presslight,sumohz4x4,sumo,1.0,0.225,35,travel_time,423.1,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.23__ckpt_35__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.23__ckpt_35__rep_02,success,0,488.6,0.0,-17.56,3.05,0.21,2605.0
24,baseline,presslight,sumohz4x4,sumo,1.0,0.225,20,travel_time,434.9,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.23__ckpt_20__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_presslight/sumohz4x4/inference__from_pr_1.00__on_pr_0.23__ckpt_20__rep_03,success,0,500.0,0.0,-20.11,3.22,0.21,2563.0
