run_idx,mode,agent,network,world,train_pr,infer_pr,checkpoint_episode,selection_metric,selection_value,repeat_idx,seed,train_prefix,infer_prefix,output_dir,status,exit_code,travel_time,loss,reward,queue,delay,throughput
39,baseline,mplight,sumohz4x4,sumo,1.0,0.45,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.45__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.45__ckpt_35__rep_03,success,0,376.3,0.0,-2.22,1.81,0.14,2698.0
40,baseline,mplight,sumohz4x4,sumo,1.0,0.5,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.50__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.50__ckpt_20__rep_01,success,0,370.3,0.0,-2.31,1.92,0.14,2701.0
41,baseline,mplight,sumohz4x4,sumo,1.0,0.5,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.50__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.50__ckpt_40__rep_02,success,0,372.4,0.0,-2.34,1.93,0.14,2701.0
42,baseline,mplight,sumohz4x4,sumo,1.0,0.5,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.50__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.50__ckpt_35__rep_03,success,0,373.4,0.0,-2.35,1.94,0.14,2705.0
43,baseline,mplight,sumohz4x4,sumo,1.0,0.55,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.55__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.55__ckpt_20__rep_01,success,0,370.3,0.0,-2.3,1.92,0.14,2701.0
44,baseline,mplight,sumohz4x4,sumo,1.0,0.55,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.55__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.55__ckpt_40__rep_02,success,0,372.4,0.0,-2.34,1.94,0.14,2701.0
45,baseline,mplight,sumohz4x4,sumo,1.0,0.55,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.55__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.55__ckpt_35__rep_03,success,0,373.4,0.0,-2.35,1.95,0.14,2705.0
46,baseline,mplight,sumohz4x4,sumo,1.0,0.6,20,travel_time,364.8,1,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.60__ckpt_20__rep_01,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.60__ckpt_20__rep_01,success,0,370.9,0.0,-2.34,1.97,0.14,2706.0
47,baseline,mplight,sumohz4x4,sumo,1.0,0.6,40,travel_time,365.2,2,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.60__ckpt_40__rep_02,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.60__ckpt_40__rep_02,success,0,371.4,0.0,-2.36,1.98,0.14,2697.0
48,baseline,mplight,sumohz4x4,sumo,1.0,0.6,35,travel_time,365.4,3,,omnet_off__pr_1.00,inference__from_pr_1.00__on_pr_0.60__ckpt_35__rep_03,/home/exx/Desktop/vtc2026/LibSignal-master/data/output_data/tsc/sumo_mplight/sumohz4x4/inference__from_pr_1.00__on_pr_0.60__ckpt_35__rep_03,success,0,371.9,0.0,-2.35,1.98,0.14,2698.0
