agent,train_pr,snr_penalty_db,slot_group,n_slots,result_sets,mlr_mean,mlr_std,mlr_ci95_low,mlr_ci95_high,delay_mean_ms_mean,delay_mean_ms_std,delay_mean_ms_ci95_low,delay_mean_ms_ci95_high,delay_median_ms_mean,delay_median_ms_std,delay_median_ms_ci95_low,delay_median_ms_ci95_high,delay_p95_ms_mean,delay_p95_ms_std,delay_p95_ms_ci95_low,delay_p95_ms_ci95_high,delay_p99_ms_mean,delay_p99_ms_std,delay_p99_ms_ci95_low,delay_p99_ms_ci95_high,delay_max_ms_mean,delay_max_ms_std,delay_max_ms_ci95_low,delay_max_ms_ci95_high
presslight,0.1,10,3,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.08946397224246869,0.008502669861593013,0.07890820570348635,0.10001973878145103,8277.473232261496,1669.5180801455415,6204.825067215066,10350.121397307927,25.8050028,6.4177942399375825,17.837536251873377,33.77246934812662,45640.36813035996,14335.841029161058,27842.92409136055,63437.81216935937,177191.22911820796,38089.406116966566,129904.56679637382,224477.89144004212,395003.8037164,90798.66964450548,282280.43865350983,507727.16877929016
presslight,0.1,15,4,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.17300310216834974,0.016283584630668105,0.15278760273381214,0.19321860160288734,13602.524507206077,5726.433274258849,6493.358359620092,20711.690654792063,376.4041452,210.2731442507462,115.35740855617797,637.4508818438221,79822.3478194799,41980.87625098526,27704.561756893156,131940.13388206664,214000.89365117607,92138.65315744042,99613.98603531464,328387.8012670375,470159.0014116,153623.2879188447,279441.0753226321,660876.9275005679
presslight,0.1,20,5,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.272260388871907,0.015401675412151622,0.25313974881339746,0.29138102893041656,19376.516323255662,5609.924628475639,12411.99157474549,26341.041071765834,1825.2051636,634.1606123961287,1037.916996278701,2612.4933309212993,101763.27811963997,36298.43946230741,56700.03811025844,146826.5181290215,220944.61143773628,56162.8625178341,151220.38662958323,290668.8362458893,469631.2016796,86271.12168227341,362528.62868100544,576733.7746781945
presslight,0.1,25,6,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.34770227251984,0.04264743823408234,0.2947569731241629,0.4006475719155171,26471.196219676738,8309.580117878408,16155.143828003584,36787.24861134989,5149.0030732,604.6475998311789,4398.354276284562,5899.651870115437,129868.00091219992,56245.62552162805,60041.028736415916,199694.9730879839,242268.002569176,95227.92791376328,124045.86864989014,360490.13648846187,557425.2011972,111327.17148033321,419216.42081166094,695633.981582739
presslight,0.5,0,1,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.027755126871489864,0.0012076015567233243,0.026255931875990554,0.029254321866989175,1074.2973192589595,403.924187961433,572.8396010393697,1575.7550374785494,14.0033412,0.0011895094787348036,14.001864465685035,14.004817934314964,1521.60790524,256.17079008139825,1203.580850418037,1839.634960061963,25657.771133936058,17538.40680997016,3884.4539564703555,47431.08831140176,303422.0034484,52830.462232096994,237834.8367647275,369009.1701320725
presslight,0.5,5,2,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.05087039043093768,0.002635405489755716,0.04759862690980271,0.054142153952072655,2473.5068515584635,478.2837454706335,1879.7343496549056,3067.2793534620214,15.4063964,0.5440267709412838,14.731006236852268,16.081786563147734,6796.409143399999,1412.8314613608225,5042.428416426321,8550.389870373678,66442.00800619232,15135.342421390891,47652.011018372636,85232.00499401201,309992.6036628,36600.94265706102,264553.8165425587,355431.39078304125
presslight,0.5,10,3,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.10110681948388525,0.0019101614957599774,0.09873542095504505,0.10347821801272546,5898.364096995973,620.3718011427336,5128.194255425318,6668.533938566628,45.0021084,11.445874383785487,30.79245663220552,59.21176016779447,27174.285938119934,5613.684445889884,20205.09350810501,34143.478368134856,119962.18433172817,11507.030078191312,105676.60991337975,134247.75875007658,421838.401358,74376.1994024012,329502.95734706987,514173.84536893014
presslight,0.5,15,4,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.18676041671193647,0.004866479128149171,0.18071885348770603,0.1928019799361669,11562.52493351013,1144.6189465077732,10141.52064049289,12983.529226527371,691.8066108,85.0965454472144,586.1622330178898,797.4509885821103,62327.86597831996,9574.25033086634,50441.769855158855,74213.96210148107,179259.72573872813,18052.195034735996,156848.55849306157,201670.89298439468,437804.2020548,99951.7281686833,313717.63573023444,561890.7683793656
presslight,0.5,20,5,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.28884487543425086,0.008706121982488657,0.27803653021998254,0.2996532206485192,15030.529225972141,4411.084836059625,9554.322049751503,20506.73640219278,1733.8045472000001,520.2440470409657,1087.9398019785608,2379.6692924214394,72732.86512875992,34178.99145908555,30300.845509879444,115164.8847476404,186342.63399761598,55194.857168630595,117820.15389330398,254865.11410192796,581412.8017332,60918.235471176835,505784.94812157925,657040.6553448207
presslight,0.5,25,6,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.35715974034784903,0.01898864908594384,0.3335859982286495,0.3807334824670486,24326.942246759867,10091.63108160189,11798.536060356493,36855.34843316324,5131.0028588000005,2850.158516310415,1592.6309842005594,8669.374733399442,114027.40365475992,66840.12763168229,31047.72854085009,197007.07876866974,262060.925096416,87632.11847458432,153268.72229520715,370853.12789762486,573940.0013044,73250.1369096692,483002.5243996932,664877.478209107
presslight,1.0,0,1,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.026974350429445425,0.001816240076927331,0.02471955204930506,0.02922914880958579,788.9971854938128,102.22401760604465,662.0896514967134,915.9047194909123,14.0029124,0.0009167010417794909,14.001774347795154,14.004050452204845,1409.0066697599998,192.91616677702416,1169.5080121334029,1648.5053273865967,14801.426355832014,3558.962260282641,10383.099482965046,19219.75322869898,252656.601626,46265.13683961599,195220.05624405798,310093.147007942
presslight,1.0,5,2,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.05077119290392447,0.0024292926600884917,0.0477553112347339,0.05378707457311504,2646.5692942723804,124.8313696487584,2491.5955253029683,2801.5430632417924,16.002966,0.706160824443838,15.126292093669138,16.879639906330866,7417.241860919982,830.4892108736109,6386.218621652042,8448.265100187922,71315.35448162413,6288.598465234574,63508.27995833057,79122.42900491769,293489.0062892,8231.155224942599,283270.3156526168,303707.6969257832
presslight,1.0,10,3,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.10144066645058716,0.0026485440776481475,0.09815259183320807,0.10472874106796626,6159.960799440288,1857.894305295832,3853.4501551315266,8466.47144374905,44.6039308,13.241052212680685,28.16562869457797,61.04223290542203,30528.458334039904,14379.093472850116,12677.31790258329,48379.598765496514,121748.16079159999,34900.22239246334,78420.75825448846,165075.56332871152,368782.0012508,50249.2704089868,306399.2937217931,431164.70877980685
presslight,1.0,15,4,5,"PressLight-Run1-results-20260606_195100,PressLight-Run2-results-20260608_193245,PressLight-Run3-results-20260609_111539,PressLight-Run4-results-20260613_081457,PressLight-Run5-results-20260613_215128",0.18277660906848953,0.006273118339692973,0.17498875257833982,0.19056446555863923,11171.620057606327,2205.109445669889,8434.053989501323,13909.186125711332,539.4035556,103.30268573647074,411.1568929358862,667.6502182641138,54459.313483239916,15045.52939813031,35780.81621505314,73137.81075142669,194081.0003645919,43121.85261619464,140546.73214596498,247615.2685832188,528554.2014116,36868.68237369394,482783.0248198168,574325.3780033832
